Clarity,Aroma,Body,Flavor,Oakiness,Quality
0.9,5.5,5.6,5.6,4.4,15.5
1,6.3,5.4,4.8,4.6,13.8
1,5,5.5,5.5,4.1,13.8
1,4.6,4.1,4.3,3.1,11.3
0.9,3.4,5,3.4,3.4,7.9
0.9,6.4,5.4,6.6,4.8,15.1
1,5.5,5.3,5.3,3.8,13.5
0.7,4.7,4.1,5,3.7,10.8
0.7,4.1,4,4.1,4,9.5
1,6,5.4,5.7,4.7,12.7
1,4.3,4.6,4.7,4.9,11.6
1,3.9,4,5.1,5.1,11.7
1,5.1,4.9,5,5.1,11.9
1,3.9,4.4,5,4.4,10.8
1,4.5,3.7,2.9,3.9,8.5
1,5.2,4.3,5,6,10.7
0.8,4.2,3.8,3,4.7,9.1
1,3.3,3.5,4.3,4.5,12.1
1,6.8,5,6,5.2,14.9
0.8,5,5.7,5.5,4.8,13.5
0.8,3.5,4.7,4.2,3.3,12.2
0.8,4.3,5.5,3.5,5.8,10.3
0.8,5.2,4.8,5.7,3.5,13.2
0.8,5.2,4.8,5.7,3.2,12
